aluminium,copper,lead,nickel,zink,tin
2435.0,8905.0,2096.0,27710,3119.0,27550
2382.5,8912.0,2089.0,26755,3042.0,27550
2391.0,8931.5,2096.5,26900,3134.0,27125
2367.0,8826.0,2062.5,25805,3067.0,26325
2341.5,8892.0,2034.0,25860,3035.0,26700
2335.0,8871.0,2048.0,25600,3037.0,26525
2392.0,9015.0,2087.0,25955,3110.0,26100
2430.5,9103.5,2156.0,26600,3170.0,26850
2385.5,9121.0,2143.0,26225,3106.5,26850
2368.5,9060.0,2089.5,25600,3087.0,26500
2307.0,8807.0,2066.0,24850,3021.0,25925
2314.0,8751.0,2107.0,24600,3034.5,25250
2300.0,8844.0,2083.0,24820,3042.5,25110
2364.0,9066.5,2138.0,25025,3091.5,25650
2366.5,8896.0,2108.0,24160,3075.0,24850
2361.5,8945.0,2138.0,24405,3090.0,24125
2321.5,8819.0,2117.0,24450,3030.0,24350
2312.5,8824.0,2088.0,23960,3012.0,24350
2288.5,8810.0,2087.0,23500,2990.0,23495
2291.0,8808.0,2076.0,23225,2967.5,23005
2249.0,8755.0,2077.0,22675,2941.0,22500
2236.5,8651.0,2063.0,22625,2905.0,22900
2272.0,8905.0,2099.0,23255,2954.0,22550
2246.0,8525.0,2079.0,22750,2864.5,22675
2237.5,8535.0,2055.0,22650,2864.0,22225
2232.0,8621.0,2067.5,23210,2933.0,22435
2237.5,8677.0,2104.0,22675,2925.0,22800
2235.0,8824.0,2130.0,22550,2897.0,23145
2232.0,8880.5,2150.0,22300,2888.0,23300
2265.0,8917.0,2146.5,21895,2894.0,23850
2265.0,8927.0,2135.0,22795,2900.0,24375
2298.0,8876.0,2125.0,23875,2914.0,25625
2315.0,8934.0,2156.0,23600,2937.0,26050
2366.0,9052.0,2182.0,24200,3035.0,26100
2344.0,9038.5,2174.0,23185,2980.0,25900
2336.5,8935.0,2145.0,23100,2906.5,26075
2380.5,8966.0,2137.0,23560,2937.0,25900
2341.5,8930.0,2122.0,22910,2893.0,25825
2306.0,8780.0,2119.5,22710,2848.0,24675
2300.5,8836.0,2128.0,22500,2810.5,24950
2268.0,8837.5,2121.0,22850,2784.0,24050
2258.5,8803.0,2142.0,22890,2751.0,23940
2330.0,9001.5,2162.0,23210,2830.0,24795
2356.0,9082.0,2185.0,24165,2902.0,24800
2364.5,8985.0,2132.0,24455,2846.0,27225
2401.0,8966.0,2159.0,24960,2855.0,27660
2382.0,8875.0,2156.0,24465,2767.0,26750
2410.0,8875.0,2184.0,25540,2755.5,27250
2388.5,8816.0,2204.0,24335,2739.0,27000
2354.5,8762.5,2164.0,24130,2670.0,26950
2313.0,8521.0,2162.0,23865,2618.0,26270
2339.5,8579.0,2123.0,23650,2614.5,25610
2302.0,8465.5,2122.0,23655,2610.0,25950
2342.0,8571.0,2162.0,23770,2680.0,26350
2353.0,8573.0,2171.0,24235,2620.0,26800
2330.0,8486.0,2145.0,25100,2609.0,27125
2297.0,8539.0,2126.0,25100,2611.0,27000
2277.5,8488.0,2104.0,23800,2630.0,26300
2321.0,8583.0,2118.0,23930,2658.0,26325
2276.0,8469.0,2122.5,23035,2612.0,26010
2229.0,8267.0,2120.0,22250,2575.0,26075
2230.5,8240.0,2094.0,22285,2516.0,25025
2260.5,8287.0,2065.0,22200,2558.0,25700
2235.5,8076.0,2060.0,21400,2473.5,24925
2269.0,8176.0,2050.0,21320,2521.5,25150
2312.0,8171.5,2049.5,21275,2482.0,25405
2300.0,8222.0,2096.0,21465,2491.0,25550
2262.0,8094.0,2095.0,21275,2433.0,25150
2202.0,7961.0,2072.0,20760,2362.5,24300
2234.0,7910.0,2057.0,20900,2306.0,24550
2236.0,7922.0,2032.5,21125,2224.0,24725
2242.0,8082.0,2059.0,21450,2320.0,25000
2230.0,8122.0,2078.0,21235,2323.5,25705
2255.0,8017.0,2035.5,20450,2228.0,25375
2281.0,8210.5,1989.0,20850,2271.0,25575
2263.5,8337.0,2010.0,21490,2302.0,26295
2216.0,8265.0,2040.0,20610,2271.0,26000
2172.0,8311.0,2035.0,21050,2290.0,26250
2169.0,8352.0,2057.0,21005,2382.0,26050
2187.5,8243.0,2029.5,21110,2371.0,25950
2221.0,8368.0,2060.0,21390,2397.0,27075
2188.0,8287.0,2090.0,21100,2356.5,26350
2193.5,8421.5,2106.0,21250,2382.0,26625
2200.0,8457.0,2147.0,22155,2450.0,27100
2197.0,8479.0,2165.0,22725,2461.0,28900
2224.5,8561.0,2174.0,23140,2485.0,28325
2195.0,8542.0,2197.0,22465,2431.5,28600
2184.5,8565.0,2185.0,21830,2375.0,28795
2157.0,8490.0,2242.0,21350,2338.0,28595
2190.5,8670.5,2222.0,21210,2442.5,28650
2132.5,8490.0,2190.0,20895,2362.5,28195
2116.0,8437.0,2159.0,20560,2331.5,26700
2151.5,8367.0,2169.0,20335,2362.0,27650
2141.5,8268.0,2130.5,19855,2348.0,27500
2105.5,8165.5,2102.0,19745,2326.0,26900
2096.5,8210.0,2105.0,20125,2363.0,27700
2107.0,8355.0,2117.5,20160,2361.5,27700
2102.5,8349.0,2115.0,20300,2370.0,28150
2093.0,8251.0,2092.0,20175,2357.0,28050
2103.5,8280.0,2059.0,21135,2365.0,29050
2086.0,8299.0,2038.0,20370,2337.5,29050
2096.0,8286.0,2066.0,20685,2341.5,28800
2129.0,8371.0,2072.0,20460,2361.0,28750
2147.5,8367.0,2077.0,20950,2360.0,28500
2236.0,8585.0,2115.0,21150,2462.0,29450
2225.0,8651.0,2114.0,21305,2413.0,29025
2195.0,8460.5,2080.5,20710,2354.0,28800
2169.5,8410.0,2094.0,20600,2348.0,28925
2142.0,8354.0,2082.0,20700,2350.0,28350
2172.0,8543.0,2082.0,21155,2402.0,29250
2153.5,8422.0,2130.0,20810,2358.0,28900
2155.0,8430.0,2136.5,20605,2366.0,28250
2184.0,8597.0,2157.0,21350,2447.0,28875
2170.5,8534.0,2140.0,21575,2455.0,28800
2176.0,8578.5,2170.0,21395,2485.0,29450
2161.5,8592.0,2157.0,21650,2485.0,28755
2195.5,8635.5,2150.0,21625,2550.0,28900
2217.0,8720.5,2152.0,22355,2554.0,27560
