"Avg(CNY/mt,VAT included)","Avg With Rate(USD/mt,VAT included)"
82814.0,13053.54
82814.0,13054.31
84135.5,13263.8
84135.5,13264.19
85457.0,13475.72
102917.0,14241.36
92218.0,12071.78
105569.5,14632.66
99500.0,13063.09
88540.5,14795.73
107691.5,12543.36
90302.5,14286.1
90302.5,14280.8
103500.0,13595.51
104500.0,13728.7
104500.0,13726.66
